observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/TUR,2020,352249500000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TUR,2020,1.5868,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TUR,2021,292318400000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TUR,2021,1.3539,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TUR,2021,-17.01,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/TKM,2020,2396400000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TKM,2020,0.0108,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TKM,2021,4442600000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TKM,2021,0.0206,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TKM,2021,85.39,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/TCA,2020,45100000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TCA,2020,0.0002,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TCA,2021,9200000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TCA,2021,0,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TCA,2021,-79.55,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/TUV,2020,100000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TUV,2020,0,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TUV,2021,200000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TUV,2021,0,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TUV,2021,51.89,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/ARE,2020,2042378200000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ARE,2020,9.2005,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ARE,2021,1233339200000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ARE,2021,5.7124,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ARE,2021,-39.61,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/GBR,2020,618822400000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/GBR,2020,2.7877,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/GBR,2021,602449000000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
