observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/IND,2021,46.45,GrowthRate_Exports_EconomicActivity_AnimalVegetableOrMicrobialFatsAndOilsAndTheir15,Percent,ExportsInUSD
country/IND,2020,34085900000,Exports_EconomicActivity_MeatFishCrustaceansMolluscsOrOtherAquatic,INR,ExportsInUSD
country/IND,2020,0.1536,Exports_EconomicActivity_MeatFishCrustaceansMolluscsOrOtherAquatic_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,47236300000,Exports_EconomicActivity_MeatFishCrustaceansMolluscsOrOtherAquatic,INR,ExportsInUSD
country/IND,2021,0.2188,Exports_EconomicActivity_MeatFishCrustaceansMolluscsOrOtherAquatic_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,38.58,GrowthRate_Exports_EconomicActivity_MeatFishCrustaceansMolluscsOrOtherAquatic,Percent,ExportsInUSD
country/IND,2020,155824700000,Exports_EconomicActivity_SugarsAndSugarConfectionery,INR,ExportsInUSD
country/IND,2020,0.702,Exports_EconomicActivity_SugarsAndSugarConfectionery_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,233208900000,Exports_EconomicActivity_SugarsAndSugarConfectionery,INR,ExportsInUSD
country/IND,2021,1.0801,Exports_EconomicActivity_SugarsAndSugarConfectionery_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,49.66,GrowthRate_Exports_EconomicActivity_SugarsAndSugarConfectionery,Percent,ExportsInUSD
country/IND,2020,12746900000,Exports_EconomicActivity_CocoaAndCocoaPreparations,INR,ExportsInUSD
country/IND,2020,0.0574,Exports_EconomicActivity_CocoaAndCocoaPreparations_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,11083800000,Exports_EconomicActivity_CocoaAndCocoaPreparations,INR,ExportsInUSD
country/IND,2021,0.0513,Exports_EconomicActivity_CocoaAndCocoaPreparations_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-13.05,GrowthRate_Exports_EconomicActivity_CocoaAndCocoaPreparations,Percent,ExportsInUSD
