observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2025,country/IND,dcid:Count_Person_Urban_Female,245513000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q40888,dcid:Count_Person_Urban,185000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q40888,dcid:Count_Person_Urban_Female,86000,,NITIIndiaProjection,
2025,country/IND,dcid:Count_Person_Urban_Male,264109000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q40888,dcid:Count_Person_Urban_Male,99000,,NITIIndiaProjection,
2025,wikidataId/Q1159,dcid:Count_Person_Urban,20407000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q1159,dcid:Count_Person_Urban_Female,10137000,,NITIIndiaProjection,
2025,wikidataId/Q1159,dcid:Count_Person_Urban_Male,10270000,,NITIIndiaProjection,
2025,wikidataId/Q1162,dcid:Count_Person_Urban,419000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q1162,dcid:Count_Person_Urban_Female,197000,,NITIIndiaProjection,
2025,wikidataId/Q1162,dcid:Count_Person_Urban_Male,222000,,NITIIndiaProjection,
2025,wikidataId/Q1164,dcid:Count_Person_Urban,5807000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q1164,dcid:Count_Person_Urban_Female,2823000,,NITIIndiaProjection,
2025,wikidataId/Q1164,dcid:Count_Person_Urban_Male,2984000,,NITIIndiaProjection,
2025,wikidataId/Q1165,dcid:Count_Person_Urban,16415000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q1165,dcid:Count_Person_Urban_Female,7753000,,NITIIndiaProjection,
2025,wikidataId/Q1165,dcid:Count_Person_Urban_Male,8662000,,NITIIndiaProjection,
2025,wikidataId/Q120971341,dcid:Count_Person_Urban,1262000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q120971341,dcid:Count_Person_Urban_Female,569000,,NITIIndiaProjection,
2025,wikidataId/Q120971341,dcid:Count_Person_Urban_Male,693000,,NITIIndiaProjection,
2025,wikidataId/Q1168,dcid:Count_Person_Urban,8682000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q1168,dcid:Count_Person_Urban_Female,4243000,,NITIIndiaProjection,
2025,wikidataId/Q1168,dcid:Count_Person_Urban_Male,4439000,,NITIIndiaProjection,
2025,wikidataId/Q1353,dcid:Count_Person_Urban,22325000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q1353,dcid:Count_Person_Urban_Female,10374000,,NITIIndiaProjection,
2025,wikidataId/Q1353,dcid:Count_Person_Urban_Male,11951000,,NITIIndiaProjection,
2025,wikidataId/Q1171,dcid:Count_Person_Urban,1252000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q1171,dcid:Count_Person_Urban_Female,612000,,NITIIndiaProjection,
2025,wikidataId/Q1171,dcid:Count_Person_Urban_Male,640000,,NITIIndiaProjection,
2025,wikidataId/Q1061,dcid:Count_Person_Urban,36863000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q1061,dcid:Count_Person_Urban_Female,17255000,,NITIIndiaProjection,
2025,wikidataId/Q1061,dcid:Count_Person_Urban_Male,19608000,,NITIIndiaProjection,
2025,wikidataId/Q1174,dcid:Count_Person_Urban,13581000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q1174,dcid:Count_Person_Urban_Female,6330000,,NITIIndiaProjection,
2025,wikidataId/Q1174,dcid:Count_Person_Urban_Male,7251000,,NITIIndiaProjection,
2025,wikidataId/Q1177,dcid:Count_Person_Urban,784000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q1177,dcid:Count_Person_Urban_Female,361000,,NITIIndiaProjection,
